RegionName,Date,Zhvi,Year,Month
60657,2000-04-30,269233.90164437547,2000,4
60614,2000-04-30,355204.5783818982,2000,4
60620,2000-04-30,65088.48619297184,2000,4
60641,2000-04-30,149244.20031778092,2000,4
60640,2000-04-30,142063.30969046915,2000,4
60628,2000-04-30,58283.24969669062,2000,4
60609,2000-04-30,110560.05325518844,2000,4
60651,2000-04-30,80994.13943234443,2000,4
60619,2000-04-30,64608.86289173009,2000,4
60638,2000-04-30,124754.96964468226,2000,4
60630,2000-04-30,155661.79303729604,2000,4
60622,2000-04-30,280494.25317184575,2000,4
60626,2000-04-30,90453.398256447,2000,4
60613,2000-04-30,173797.1232056409,2000,4
60649,2000-04-30,84076.76722595595,2000,4
60616,2000-04-30,189658.41526625515,2000,4
60643,2000-04-30,131735.77067675843,2000,4
60645,2000-04-30,111081.90169495606,2000,4
60644,2000-04-30,69790.21506860305,2000,4
60637,2000-04-30,169925.43153663483,2000,4
60659,2000-04-30,133990.34173754454,2000,4
60660,2000-04-30,109906.11477158128,2000,4
60707,2000-04-30,136842.53422904378,2000,4
60652,2000-04-30,101048.59307978857,2000,4
60610,2000-04-30,229991.98707760565,2000,4
60615,2000-04-30,131958.97900263357,2000,4
60624,2000-04-30,102292.76299002647,2000,4
60611,2000-04-30,262810.0451098117,2000,4
60653,2000-04-30,169227.5132766123,2000,4
60612,2000-04-30,191298.69687189,2000,4
60631,2000-04-30,190489.4345247124,2000,4
60636,2000-04-30,40012.013666432926,2000,4
60607,2000-04-30,252113.9483210726,2000,4
60646,2000-04-30,235162.90509970745,2000,4
60655,2000-04-30,136930.14625354423,2000,4
60605,2000-04-30,242879.7972304599,2000,4
60621,2000-04-30,49141.09700988788,2000,4
60642,2000-04-30,277568.8816512602,2000,4
60656,2000-04-30,145639.56338717105,2000,4
60654,2000-04-30,255442.0751053486,2000,4
60601,2000-04-30,241965.00326881037,2000,4
60633,2000-04-30,62964.74730660805,2000,4
60661,2000-04-30,249179.3047397728,2000,4
60606,2000-04-30,239992.6287840577,2000,4
60602,2000-04-30,297692.1668270258,2000,4
60603,2000-04-30,,2000,4
60604,2000-04-30,,2000,4
60629,2000-05-31,95110.79173584197,2000,5
60618,2000-05-31,218164.4457508909,2000,5
60639,2000-05-31,96939.5789865863,2000,5
60647,2000-05-31,217537.2110299603,2000,5
60632,2000-05-31,103479.27240414638,2000,5
60617,2000-05-31,63449.9111110836,2000,5
60608,2000-05-31,155942.64156389926,2000,5
60625,2000-05-31,159177.17406579407,2000,5
60623,2000-05-31,89147.25434361167,2000,5
60634,2000-05-31,142555.39381746433,2000,5
60657,2000-05-31,272207.4586163003,2000,5
60614,2000-05-31,358642.8364496783,2000,5
60620,2000-05-31,65392.20654680547,2000,5
60641,2000-05-31,150480.52367873563,2000,5
60640,2000-05-31,143971.05214870625,2000,5
60628,2000-05-31,58821.75131874287,2000,5
60609,2000-05-31,111747.08036033768,2000,5
60651,2000-05-31,81950.04177396726,2000,5
60619,2000-05-31,64886.04025750837,2000,5
60638,2000-05-31,125754.05945151928,2000,5
60630,2000-05-31,157259.5385189704,2000,5
60622,2000-05-31,284893.588917574,2000,5
60626,2000-05-31,91565.83644291724,2000,5
60613,2000-05-31,176225.665525025,2000,5
60649,2000-05-31,84366.35853448868,2000,5
60616,2000-05-31,190567.03266276896,2000,5
60643,2000-05-31,132314.35334420545,2000,5
60645,2000-05-31,112219.75589317748,2000,5
60644,2000-05-31,70404.94930465573,2000,5
60637,2000-05-31,171629.12622621565,2000,5
60659,2000-05-31,135607.6951652137,2000,5
60660,2000-05-31,111307.4064045226,2000,5
60707,2000-05-31,137847.63885951685,2000,5
60652,2000-05-31,101478.0171160604,2000,5
60610,2000-05-31,233206.64592771415,2000,5
60615,2000-05-31,132636.37943407873,2000,5
60624,2000-05-31,103435.55570640996,2000,5
60611,2000-05-31,265330.225382108,2000,5
60653,2000-05-31,172615.2728561906,2000,5
60612,2000-05-31,195261.9697054052,2000,5
60631,2000-05-31,192047.51351752432,2000,5
60636,2000-05-31,40479.92641802804,2000,5
60607,2000-05-31,254234.15911674828,2000,5
60646,2000-05-31,236957.24564235943,2000,5
60655,2000-05-31,137133.04334069355,2000,5
60605,2000-05-31,246039.5502535028,2000,5
60621,2000-05-31,49742.01174177107,2000,5
60642,2000-05-31,280409.6054809946,2000,5
60656,2000-05-31,146767.69076962493,2000,5
60654,2000-05-31,258220.99383507343,2000,5
60601,2000-05-31,245517.22235298643,2000,5
60633,2000-05-31,63477.38357222192,2000,5
60661,2000-05-31,251042.09716862455,2000,5
60606,2000-05-31,241704.25428585036,2000,5
60602,2000-05-31,302160.11822865345,2000,5
60603,2000-05-31,,2000,5
60604,2000-05-31,,2000,5
60629,2000-06-30,95822.67424746037,2000,6
60618,2000-06-30,220970.0456888169,2000,6
60639,2000-06-30,97881.5527882916,2000,6
60647,2000-06-30,219742.0806428221,2000,6
60632,2000-06-30,104213.02455986156,2000,6
60617,2000-06-30,63644.26748764858,2000,6
60608,2000-06-30,158113.22530528132,2000,6
60625,2000-06-30,160862.1605223115,2000,6
60623,2000-06-30,89451.20158513992,2000,6
60634,2000-06-30,143888.6928619172,2000,6
60657,2000-06-30,275279.1380863531,2000,6
60614,2000-06-30,362325.7162934203,2000,6
60620,2000-06-30,65763.1475945452,2000,6
60641,2000-06-30,151931.4317389436,2000,6
60640,2000-06-30,145966.2937681964,2000,6
60628,2000-06-30,59388.70184889589,2000,6
60609,2000-06-30,112541.61069948463,2000,6
60651,2000-06-30,83058.9403561953,2000,6
60619,2000-06-30,65228.4737303019,2000,6
60638,2000-06-30,126807.67242035986,2000,6
60630,2000-06-30,159140.55554816665,2000,6
60622,2000-06-30,289458.9635095483,2000,6
60626,2000-06-30,92562.49517912992,2000,6
60613,2000-06-30,178611.39098790582,2000,6
60649,2000-06-30,84850.33993992062,2000,6
60616,2000-06-30,192071.80951605085,2000,6
60643,2000-06-30,133162.1589032346,2000,6
60645,2000-06-30,113401.47253742946,2000,6
60644,2000-06-30,71255.23783100802,2000,6
60637,2000-06-30,172935.02274520273,2000,6
60659,2000-06-30,136931.24504618216,2000,6
60660,2000-06-30,112634.40124877176,2000,6
60707,2000-06-30,138988.20323555145,2000,6
60652,2000-06-30,102035.95180842864,2000,6
60610,2000-06-30,236566.6890966927,2000,6
60615,2000-06-30,133310.50141233698,2000,6
60624,2000-06-30,105048.1318112592,2000,6
60611,2000-06-30,267778.47573719756,2000,6
60653,2000-06-30,175765.42244341155,2000,6
60612,2000-06-30,199835.75725675895,2000,6
60631,2000-06-30,193531.01847985052,2000,6
60636,2000-06-30,40876.25411590064,2000,6
60607,2000-06-30,256747.9496062936,2000,6
60646,2000-06-30,238459.6745880592,2000,6
60655,2000-06-30,137244.46092261255,2000,6
60605,2000-06-30,249760.40220160328,2000,6
60621,2000-06-30,50273.28624469603,2000,6
60642,2000-06-30,283622.94591954356,2000,6
60656,2000-06-30,148058.3193128732,2000,6
60654,2000-06-30,261831.65215262177,2000,6
60601,2000-06-30,248774.7721130099,2000,6
60633,2000-06-30,63928.4124496252,2000,6
60661,2000-06-30,252891.7169889066,2000,6
60606,2000-06-30,243222.57470530015,2000,6
60602,2000-06-30,306245.5118026196,2000,6
60603,2000-06-30,,2000,6
60604,2000-06-30,,2000,6
60629,2000-07-31,96475.3071075869,2000,7
60618,2000-07-31,224394.0533987335,2000,7
