RegionName,Date,Zori,Year,Month
60623,2015-06-30,,2015,6
60634,2015-06-30,,2015,6
60657,2015-06-30,1514.7610016080098,2015,6
60614,2015-06-30,1780.35626400819,2015,6
60620,2015-06-30,867.407855919399,2015,6
60641,2015-06-30,,2015,6
60640,2015-06-30,1246.5910584988767,2015,6
60628,2015-06-30,,2015,6
60609,2015-06-30,,2015,6
60651,2015-06-30,,2015,6
60619,2015-06-30,,2015,6
60638,2015-06-30,,2015,6
60630,2015-06-30,,2015,6
60622,2015-06-30,1627.9717051005457,2015,6
60626,2015-06-30,999.477522326024,2015,6
60613,2015-06-30,1478.4330274489132,2015,6
60649,2015-06-30,782.0426256101051,2015,6
60616,2015-06-30,1285.164796998244,2015,6
60643,2015-06-30,,2015,6
60645,2015-06-30,,2015,6
60644,2015-06-30,,2015,6
60637,2015-06-30,,2015,6
60659,2015-06-30,,2015,6
60660,2015-06-30,1234.5625352113052,2015,6
60652,2015-06-30,,2015,6
60610,2015-06-30,1941.847850257564,2015,6
60615,2015-06-30,1253.2256000213877,2015,6
60624,2015-06-30,,2015,6
60611,2015-06-30,2203.823001080269,2015,6
60653,2015-06-30,,2015,6
60612,2015-06-30,1478.1594375167506,2015,6
60631,2015-06-30,,2015,6
60636,2015-06-30,,2015,6
60607,2015-06-30,2067.6586354413644,2015,6
60646,2015-06-30,,2015,6
60605,2015-06-30,2027.721415631735,2015,6
60621,2015-06-30,,2015,6
60642,2015-06-30,,2015,6
60656,2015-06-30,,2015,6
60654,2015-06-30,2118.557361789148,2015,6
60601,2015-06-30,2327.985108202981,2015,6
60661,2015-06-30,,2015,6
60606,2015-06-30,,2015,6
60603,2015-06-30,,2015,6
60629,2015-07-31,,2015,7
60618,2015-07-31,1400.7972916211988,2015,7
60639,2015-07-31,,2015,7
60647,2015-07-31,1484.790160792272,2015,7
60632,2015-07-31,,2015,7
60617,2015-07-31,,2015,7
60608,2015-07-31,,2015,7
60625,2015-07-31,1238.815949995395,2015,7
60623,2015-07-31,,2015,7
60634,2015-07-31,,2015,7
60657,2015-07-31,1519.550858726814,2015,7
60614,2015-07-31,1779.957835245418,2015,7
60620,2015-07-31,,2015,7
60641,2015-07-31,,2015,7
60640,2015-07-31,1258.5886491580934,2015,7
60628,2015-07-31,,2015,7
60609,2015-07-31,,2015,7
60651,2015-07-31,,2015,7
60619,2015-07-31,,2015,7
60638,2015-07-31,,2015,7
60630,2015-07-31,,2015,7
60622,2015-07-31,1629.7563816420156,2015,7
60626,2015-07-31,1001.6471800011732,2015,7
60613,2015-07-31,1481.2098110298157,2015,7
60649,2015-07-31,787.3456950619272,2015,7
60616,2015-07-31,1289.6534073267003,2015,7
60643,2015-07-31,,2015,7
60645,2015-07-31,,2015,7
60644,2015-07-31,,2015,7
60637,2015-07-31,1075.8915276259154,2015,7
60659,2015-07-31,,2015,7
60660,2015-07-31,1237.600151423112,2015,7
60652,2015-07-31,,2015,7
60610,2015-07-31,1935.424322216624,2015,7
60615,2015-07-31,1248.6185806182682,2015,7
60624,2015-07-31,,2015,7
60611,2015-07-31,2241.710140747819,2015,7
60653,2015-07-31,,2015,7
60612,2015-07-31,1487.1901864239169,2015,7
60631,2015-07-31,,2015,7
60636,2015-07-31,,2015,7
60607,2015-07-31,2080.938729590387,2015,7
60646,2015-07-31,,2015,7
60605,2015-07-31,2046.73763563426,2015,7
60621,2015-07-31,,2015,7
60642,2015-07-31,,2015,7
60656,2015-07-31,,2015,7
60654,2015-07-31,2122.59627663181,2015,7
60601,2015-07-31,2360.856227401439,2015,7
60661,2015-07-31,,2015,7
60606,2015-07-31,,2015,7
60603,2015-07-31,,2015,7
60629,2015-08-31,,2015,8
60618,2015-08-31,1393.0115259849208,2015,8
60639,2015-08-31,,2015,8
60647,2015-08-31,1484.007043846279,2015,8
60632,2015-08-31,,2015,8
60617,2015-08-31,,2015,8
60608,2015-08-31,,2015,8
60625,2015-08-31,1248.8842260015465,2015,8
60623,2015-08-31,,2015,8
60634,2015-08-31,,2015,8
60657,2015-08-31,1525.322148333301,2015,8
60614,2015-08-31,1788.567436378882,2015,8
60620,2015-08-31,869.2181279516436,2015,8
60641,2015-08-31,,2015,8
60640,2015-08-31,1262.1521040734035,2015,8
60628,2015-08-31,,2015,8
60609,2015-08-31,,2015,8
60651,2015-08-31,,2015,8
60619,2015-08-31,,2015,8
60638,2015-08-31,,2015,8
60630,2015-08-31,,2015,8
60622,2015-08-31,1630.806161989512,2015,8
60626,2015-08-31,998.1159625030048,2015,8
60613,2015-08-31,1481.900538503453,2015,8
60649,2015-08-31,785.9025418666372,2015,8
60616,2015-08-31,1270.18577302727,2015,8
60643,2015-08-31,,2015,8
60645,2015-08-31,,2015,8
60644,2015-08-31,,2015,8
60637,2015-08-31,1082.972054625156,2015,8
60659,2015-08-31,,2015,8
60660,2015-08-31,1245.2378690755174,2015,8
60652,2015-08-31,,2015,8
60610,2015-08-31,1951.7156105473855,2015,8
60615,2015-08-31,1251.8232549568334,2015,8
60624,2015-08-31,,2015,8
60611,2015-08-31,2245.081347249032,2015,8
60653,2015-08-31,,2015,8
60612,2015-08-31,1490.981347811933,2015,8
60631,2015-08-31,,2015,8
60636,2015-08-31,,2015,8
60607,2015-08-31,2099.3193189770236,2015,8
60646,2015-08-31,,2015,8
60605,2015-08-31,2045.043250784548,2015,8
60621,2015-08-31,,2015,8
60642,2015-08-31,,2015,8
60656,2015-08-31,,2015,8
60654,2015-08-31,2108.9495832351154,2015,8
60601,2015-08-31,2394.6235628665504,2015,8
60661,2015-08-31,,2015,8
60606,2015-08-31,,2015,8
60603,2015-08-31,,2015,8
60629,2015-09-30,,2015,9
60618,2015-09-30,1393.160644087149,2015,9
60639,2015-09-30,,2015,9
60647,2015-09-30,1474.0143358243934,2015,9
60632,2015-09-30,,2015,9
60617,2015-09-30,,2015,9
60608,2015-09-30,,2015,9
60625,2015-09-30,1254.5280112052349,2015,9
60623,2015-09-30,,2015,9
60634,2015-09-30,,2015,9
60657,2015-09-30,1510.351175301382,2015,9
60614,2015-09-30,1772.2656295505155,2015,9
60620,2015-09-30,877.1239165080975,2015,9
60641,2015-09-30,,2015,9
60640,2015-09-30,1259.5680062436832,2015,9
60628,2015-09-30,,2015,9
60609,2015-09-30,,2015,9
60651,2015-09-30,,2015,9
60619,2015-09-30,,2015,9
60638,2015-09-30,,2015,9
60630,2015-09-30,,2015,9
60622,2015-09-30,1613.315301095871,2015,9
60626,2015-09-30,986.0327290299514,2015,9
60613,2015-09-30,1464.5757854455671,2015,9
60649,2015-09-30,783.1554862182836,2015,9
60616,2015-09-30,1261.9801150057574,2015,9
60643,2015-09-30,,2015,9
60645,2015-09-30,,2015,9
60644,2015-09-30,,2015,9
60637,2015-09-30,1096.939551010795,2015,9
60659,2015-09-30,,2015,9
60660,2015-09-30,1235.6978914347667,2015,9
60652,2015-09-30,,2015,9
60610,2015-09-30,1955.7030251106096,2015,9
